,Movie_Title,Distributor,Domestic_Total_Gross,Budget,Runtime(mins),Rating,Release_Date,Genre
208,The Hunger Games: Mockingjay,Lionsgate,281723902,160000000,137,PG-13,2015-11-20,"Action, Adventure, Sci-Fi, Thriller"
209,The Hunger Games: Mockingjay,Lionsgate,281723902,160000000,137,PG-13,2015-11-20,"Action, Adventure, Sci-Fi, Thriller"
210,The Hunger Games: Mockingjay,Lionsgate,281723902,160000000,137,PG-13,2015-11-20,"Action, Adventure, Sci-Fi, Thriller"
211,Spectre,Sony Pictures Releasing,200074609,245000000,148,PG-13,2015-11-06,"Action, Adventure, Thriller"
212,Spectre,Sony Pictures Releasing,200074609,245000000,148,PG-13,2015-11-06,"Action, Adventure, Thriller"
213,The Martian,Twentieth Century Fox,228433663,108000000,144,PG-13,2015-10-02,"Adventure, Drama, Sci-Fi"
214,The Martian,Twentieth Century Fox,228433663,108000000,144,PG-13,2015-10-02,"Adventure, Drama, Sci-Fi"
215,Goosebumps,Sony Pictures Releasing,80080379,58000000,103,PG,2015-10-16,"Adventure, Comedy, Family, Fantasy, Horror"
216,The Martian,Twentieth Century Fox,228433663,108000000,144,PG-13,2015-10-02,"Adventure, Drama, Sci-Fi"
217,The Martian,Twentieth Century Fox,228433663,108000000,144,PG-13,2015-10-02,"Adventure, Drama, Sci-Fi"
218,Hotel Transylvania 2,Sony Pictures Releasing,169700110,80000000,89,PG,2015-09-25,"Animation, Comedy, Family, Fantasy, Horror"
