Movie_Title,Budgets
"<a href=""/movie/Prince-of-Persia-Sands-of-Time#tab=summary"">Prince of Persia: Sands of Time</a>","$200,000,000"
"<a href=""/movie/Dark-Phoenix-(2019)#tab=summary"">Dark Phoenix</a>","$200,000,000"
"<a href=""/movie/Transformers-Dark-of-the-Moon#tab=summary"">Transformers: Dark of the Moon</a>","$195,000,000"
"<a href=""/movie/Mummy-The-(2017)#tab=summary"">The Mummy</a>","$195,000,000"
"<a href=""/movie/Jack-the-Giant-Slayer#tab=summary"">Jack the Giant Slayer</a>","$195,000,000"
"<a href=""/movie/Furious-7#tab=summary"">Furious 7</a>","$190,000,000"
"<a href=""/movie/Star-Trek-Into-Darkness#tab=summary"">Star Trek Into Darkness</a>","$190,000,000"
"<a href=""/movie/World-War-Z#tab=summary"">World War Z</a>","$190,000,000"
"<a href=""/movie/Great-Gatsby-The-(2011)#tab=summary"">The Great Gatsby</a>","$190,000,000"
"<a href=""/movie/Disneys-A-Christmas-Carol#tab=summary"">Disneyâs A Christmas Carol</a>","$190,000,000"
"<a href=""/movie/Pacific-Rim#tab=summary"">Pacific Rim</a>","$190,000,000"
"<a href=""/movie/Good-Dinosaur-The#tab=summary"">The Good Dinosaur</a>","$187,500,000"
"<a href=""/movie/Iron-Man#tab=summary"">Iron Man</a>","$186,000,000"
"<a href=""/movie/Dark-Knight-The#tab=summary"">The Dark Knight</a>","$185,000,000"
"<a href=""/movie/Indiana-Jones-and-the-Kingdom-of-the-Crystal-Skull#tab=summary"">Indiana Jones and the Kingdom of the Crystal Skull</a>","$185,000,000"
"<a href=""/movie/Brave#tab=summary"">Brave</a>","$185,000,000"
"<a href=""/movie/Kong-Skull-Island#tab=summary"">Kong: Skull Island</a>","$185,000,000"
"<a href=""/movie/Star-Trek-Beyond#tab=summary"">Star Trek Beyond</a>","$185,000,000"
"<a href=""/movie/Maleficent-Mistress-of-Evil-(2019)#tab=summary"">Maleficent: Mistress of Evil</a>","$185,000,000"
"<a href=""/movie/Blade-Runner-2049#tab=summary"">Blade Runner 2049</a>","$185,000,000"
"<a href=""/movie/Terminator-Dark-Fate-(2019)#tab=summary"">Terminator: Dark Fate</a>","$185,000,000"
"<a href=""/movie/Aladdin-(2019)#tab=summary"">Aladdin</a>","$182,000,000"
"<a href=""/movie/Thor-Ragnarok#tab=summary"">Thor: Ragnarok</a>","$180,000,000"
